season,week,team,elo,rank,prev_rank,rank_change,name
2025,18,SEA,1706.2131833304977,1,1,0,SEA
2025,18,DEN,1665.6739836949032,2,2,0,DEN
2025,18,HOU,1651.0302522631498,3,5,2,HOU
2025,18,LA,1650.4143884411874,4,4,0,LA
2025,18,BUF,1650.0125584147522,5,3,-2,BUF
2025,18,JAX,1610.7851868796938,6,8,2,JAX
2025,18,NE,1602.6370254934511,7,9,2,NE
2025,18,DET,1591.091426244837,8,13,5,DET
2025,18,PHI,1587.226607719176,9,6,-3,PHI
2025,18,SF,1583.9311363719871,10,7,-3,SF
2025,18,MIN,1581.6597151378057,11,14,3,MIN
2025,18,BAL,1565.3684589787163,12,11,-1,BAL
2025,18,LAC,1558.9372696171197,13,12,-1,LAC
2025,18,GB,1556.3722207827411,14,10,-4,GB
2025,18,PIT,1541.2156699436857,15,16,1,PIT
2025,18,CHI,1539.754615108351,16,15,-1,CHI
2025,18,LAR,1500.0,17,17,0,LAR
2025,18,STL,1499.3399682874615,18,18,0,STL
2025,18,SD,1497.2783682916765,19,19,0,SD
2025,18,OAK,1491.0574925760802,20,21,1,OAK
2025,18,KC,1477.9966426251501,21,20,-1,KC
2025,18,TB,1470.6696420075734,22,24,2,TB
2025,18,CIN,1470.3947819331825,23,22,-1,CIN
2025,18,ATL,1457.6896502594957,24,26,2,ATL
2025,18,IND,1445.9122425892078,25,25,0,IND
2025,18,MIA,1434.7928696302383,26,27,1,MIA
2025,18,DAL,1434.6141990676836,27,23,-4,DAL
2025,18,WAS,1433.6800011292046,28,30,2,WAS
2025,18,NO,1404.475707604335,29,28,-1,NO
2025,18,CAR,1399.0671863693642,30,29,-1,CAR
2025,18,CLE,1385.0274638483734,31,31,0,CLE
2025,18,NYG,1381.8014196056183,32,32,0,NYG
2025,18,ARI,1335.1160902167328,33,33,0,ARI
2025,18,NYJ,1289.283959050745,34,34,0,NYJ
2025,18,TEN,1280.731844202722,35,35,0,TEN
2025,18,LV,1268.7467722831052,36,36,0,LV
