team,division,conference,current_wins,sim_wins_mean,sim_wins_p10,sim_wins_p90,division_win_odds,playoff_odds
BUF,AFC_EAST,AFC,0,11.5979,9.0,14.0,0.6698,0.8953
DEN,AFC_WEST,AFC,0,10.2424,8.0,13.0,0.3763,0.7185
KC,AFC_WEST,AFC,0,9.9705,7.0,12.0,0.317,0.6664
BAL,AFC_NORTH,AFC,0,9.6619,7.0,12.0,0.4966,0.6503
LAC,AFC_WEST,AFC,0,9.8653,7.0,12.0,0.2972,0.6492
NE,AFC_EAST,AFC,0,9.8479,7.0,12.0,0.2399,0.6451
JAX,AFC_SOUTH,AFC,0,9.0723,7.0,12.0,0.3523,0.5197
IND,AFC_SOUTH,AFC,0,8.9753,6.0,11.0,0.3215,0.5037
HOU,AFC_SOUTH,AFC,0,8.9444,6.0,11.0,0.3184,0.4938
PIT,AFC_NORTH,AFC,0,8.6866,6.0,11.0,0.29,0.4466
MIA,AFC_EAST,AFC,0,8.2467,6.0,11.0,0.0798,0.3272
CIN,AFC_NORTH,AFC,0,7.9934,6.0,10.0,0.1841,0.3133
NYJ,AFC_EAST,AFC,0,5.9809,4.0,8.0,0.0105,0.0593
CLE,AFC_NORTH,AFC,0,5.7774,3.0,8.0,0.0293,0.0518
LV,AFC_WEST,AFC,0,5.7533,3.0,8.0,0.0095,0.0428
TEN,AFC_SOUTH,AFC,0,4.7809,3.0,7.0,0.0078,0.017
PHI,NFC_EAST,NFC,0,10.3434,8.0,13.0,0.6292,0.7768
GB,NFC_NORTH,NFC,0,10.4861,8.0,13.0,0.4535,0.7607
LA,NFC_WEST,NFC,0,10.4785,8.0,13.0,0.4229,0.7584
DET,NFC_NORTH,NFC,0,10.184,8.0,13.0,0.3801,0.7124
SEA,NFC_WEST,NFC,0,9.9445,7.0,12.0,0.3046,0.6658
TB,NFC_SOUTH,NFC,0,9.3066,7.0,12.0,0.5713,0.6484
SF,NFC_WEST,NFC,0,9.5436,7.0,12.0,0.2367,0.5897
DAL,NFC_EAST,NFC,0,8.3254,6.0,11.0,0.1901,0.3696
MIN,NFC_NORTH,NFC,0,8.2733,6.0,11.0,0.1049,0.336
WAS,NFC_EAST,NFC,0,8.0965,6.0,11.0,0.1585,0.3224
ATL,NFC_SOUTH,NFC,0,7.5366,5.0,10.0,0.1954,0.2753
CHI,NFC_NORTH,NFC,0,7.6681,5.0,10.0,0.0615,0.2333
CAR,NFC_SOUTH,NFC,0,6.9717,4.0,9.0,0.1363,0.1957
ARI,NFC_WEST,NFC,0,7.1705,5.0,10.0,0.0358,0.1608
NO,NFC_SOUTH,NFC,0,6.6734,4.0,9.0,0.097,0.1446
NYG,NFC_EAST,NFC,0,5.6007,3.0,8.0,0.0222,0.0501
